target,method,cells,macro_auroc_mean,macro_auroc_median,min_auroc,max_auroc,cells_auroc_above_0_5,cells_ci_above_0_5,mean_auprc_lift,mean_prr,mean_top_minus_bottom
error,perplexity,9,0.6450825777061469,0.6255824372759856,0.5200876302744057,0.7859572400388727,9,8,1.2703229792598831,0.3258432530596564,0.3199501495593186
error,semantic_entropy,9,0.6806345913620372,0.6680947796320068,0.5068568900685689,0.8236624704956726,9,8,1.352250935360214,0.3840992548270007,0.39298314566133147
error,umpire,9,0.6706378216267209,0.6373296795310954,0.5319554497313193,0.8355199222546161,9,8,1.2812580403057572,0.41848090272334937,0.4062931486133555
correct,perplexity,9,0.6450825777061469,0.6255824372759856,0.5200876302744057,0.7859572400388727,9,8,1.3325439803700927,0.3066894959590456,0.3199501495593186
correct,semantic_entropy,9,0.6806345913620372,0.6680947796320068,0.5068568900685689,0.8236624704956726,9,8,1.361510679651158,0.3680063836789723,0.3966093262402001
correct,umpire,9,0.6706378216267209,0.6373296795310954,0.5319554497313193,0.8355199222546161,9,8,1.4717213029358183,0.32160269770171246,0.4062931486133556
hallucination,perplexity,9,0.5481118660249279,0.5486590038314176,0.49278499278499277,0.6044967381174278,8,5,1.0786864969434238,0.15299876312933636,0.10127803773954189
hallucination,semantic_entropy,9,0.6282264511319995,0.5941187728278287,0.5687487116058545,0.7862301957129544,9,8,1.3145358374768894,0.26657228451050635,0.25870383132540575
hallucination,umpire,9,0.587613566690962,0.5693025720140561,0.4994846423417852,0.6752096924510718,8,8,1.1447490877663724,0.2556063772477691,0.1987608840017714
hallucination_given_error,perplexity,9,0.4087601724863866,0.4179236231049703,0.34978501786471267,0.46869300911854106,0,0,0.922584317530575,-0.1352505570862725,-0.1924322286286705
hallucination_given_error,semantic_entropy,9,0.5583592810109363,0.5348685473037804,0.45918367346938777,0.7127659574468085,8,3,1.0728760840343106,0.07834078107495519,0.09839201362851648
hallucination_given_error,umpire,9,0.44453487233262723,0.4295144885818461,0.3183015141540487,0.527596119295724,3,0,0.9523442115399318,-0.10494999508201006,-0.11932410353368741
