model,dataset,method,target,score_direction,n,positive_n,positive_rate,auroc,auroc_ci_low,auroc_ci_high,bootstrap_undefined,auprc,auprc_random_baseline,prr,rank_biserial,tail_n,bottom20_rate,top20_rate,top20_lift_vs_prevalence,top_vs_bottom_risk_ratio,top_minus_bottom
llava,vilp,perplexity,error,risk=UQ,888,435,0.48986486486486486,0.6016036132044353,0.5630927546818115,0.6360519202588442,0,0.5907499543064586,0.48986486486486486,0.16180879132394935,0.20320722640887068,178,0.37640449438202245,0.6179775280898876,1.261526540100736,1.6417910447761195,0.24157303370786515
llava,vilp,perplexity,correct,confidence=-UQ,888,453,0.5101351351351351,0.6016036132044353,0.5661080726291252,0.635176202279173,0,0.5728144042746515,0.5101351351351351,0.24784064628271604,0.20320722640887068,178,0.38202247191011235,0.6235955056179775,1.2224123818736514,1.6323529411764706,0.24157303370786515
llava,vilp,perplexity,hallucination,risk=UQ,888,465,0.5236486486486487,0.5090876738097054,0.4673202056984056,0.5487702199895692,0,0.5231348232845486,0.5236486486486487,0.0413249095183899,0.018175347619410864,178,0.46629213483146065,0.4887640449438202,0.9333816600217469,1.0481927710843373,0.02247191011235955
llava,vilp,perplexity,hallucination_given_error,risk=UQ,435,337,0.774712643678161,0.34978501786471267,0.2852209734830198,0.4229025617980019,0,0.6960487766863697,0.774712643678161,-0.15374797345851254,-0.30042996427057467,87,0.8505747126436781,0.5747126436781609,0.7418397626112759,0.6756756756756757,-0.27586206896551724
llava,vilp,semantic_entropy,error,risk=UQ,888,435,0.48986486486486486,0.6412549795742305,0.6106860124731723,0.6763345481491664,0,0.6012827321475682,0.48986486486486486,0.30578550452600073,0.282509959148461,178,0.3089887640449438,0.651685393258427,1.3303370786516855,2.1090909090909093,0.3426966292134832
llava,vilp,semantic_entropy,correct,confidence=-UQ,888,453,0.5101351351351351,0.6412549795742305,0.6045188903272771,0.6758303518642079,0,0.6297904818680098,0.5101351351351351,0.28411862855290204,0.282509959148461,178,0.34831460674157305,0.6853932584269663,1.3435523476449143,1.967741935483871,0.33707865168539325
llava,vilp,semantic_entropy,hallucination,risk=UQ,888,465,0.5236486486486487,0.5848445562927375,0.5509244749714095,0.6249355576769587,0,0.5868497671756682,0.5236486486486487,0.16767608476290038,0.16968911258547492,178,0.4157303370786517,0.6235955056179775,1.190866255889815,1.4999999999999998,0.2078651685393258
llava,vilp,semantic_entropy,hallucination_given_error,risk=UQ,435,337,0.774712643678161,0.5233452431417671,0.45545814685675734,0.5827959339135717,0,0.7864586474470836,0.774712643678161,0.008863151284695055,0.04669048628353423,87,0.7816091954022989,0.8160919540229885,1.053412462908012,1.0441176470588234,0.03448275862068961
llava,vilp,umpire,error,risk=UQ,888,435,0.48986486486486486,0.6373296795310954,0.6022322986088923,0.671727552748868,0,0.5859130318768365,0.48986486486486486,0.345104347448557,0.27465935906219086,178,0.2752808988764045,0.6235955056179775,1.272994963192561,2.265306122448979,0.348314606741573
llava,vilp,umpire,correct,confidence=-UQ,888,453,0.5101351351351351,0.6373296795310954,0.6028120447145027,0.6705281901524258,0,0.6516242289441635,0.5101351351351351,0.2419798413715155,0.27465935906219086,178,0.37640449438202245,0.7247191011235955,1.4206414167720813,1.9253731343283582,0.34831460674157305
llava,vilp,umpire,hallucination,risk=UQ,888,465,0.5236486486486487,0.5565876102595388,0.5189333271122487,0.5958326091189227,0,0.5620947605845303,0.5236486486486487,0.17652989744642011,0.11317522051907769,178,0.398876404494382,0.550561797752809,1.051395433127945,1.3802816901408452,0.151685393258427
llava,vilp,umpire,hallucination_given_error,risk=UQ,435,337,0.774712643678161,0.4265427239144916,0.35846760461576094,0.4939099174260454,0,0.7477662932979823,0.774712643678161,-0.11591366582117581,-0.1469145521710168,87,0.8160919540229885,0.7241379310344828,0.9347181008902077,0.8873239436619719,-0.09195402298850575
llava,hallusionbench,perplexity,error,risk=UQ,1109,561,0.5058611361587015,0.5200876302744057,0.4808967753079203,0.5503829556246985,0,0.5396394151353628,0.5058611361587015,0.05398406253713331,0.04017526054881149,222,0.5180180180180181,0.5585585585585585,1.1041736924089864,1.0782608695652172,0.04054054054054046
llava,hallusionbench,perplexity,correct,confidence=-UQ,1109,548,0.49413886384129846,0.5200876302744057,0.489047383285713,0.5526809493355975,0,0.5169364410007393,0.49413886384129846,0.08159917852173237,0.04017526054881149,222,0.44144144144144143,0.481981981981982,0.975397843098573,1.0918367346938775,0.04054054054054057
llava,hallusionbench,perplexity,hallucination,risk=UQ,1109,801,0.7222723174030659,0.579304278742481,0.5420556501686087,0.6165107599109068,0,0.7736814647440227,0.7222723174030659,0.13210864694632854,0.15860855748496205,222,0.6711711711711712,0.7927927927927928,1.097636962805502,1.1812080536912752,0.1216216216216216
