method,target,uq_decile,n,positive_rate
perplexity,error,1,667,0.2683658170914543
perplexity,error,2,666,0.3228228228228228
perplexity,error,3,666,0.36186186186186187
perplexity,error,4,665,0.40150375939849625
perplexity,error,5,665,0.41654135338345866
perplexity,error,6,669,0.4514200298953662
perplexity,error,7,665,0.4781954887218045
perplexity,error,8,666,0.521021021021021
perplexity,error,9,666,0.527027027027027
perplexity,error,10,667,0.5757121439280359
perplexity,hallucination,1,667,0.3343328335832084
perplexity,hallucination,2,666,0.4009009009009009
perplexity,hallucination,3,666,0.43243243243243246
perplexity,hallucination,4,665,0.47368421052631576
perplexity,hallucination,5,665,0.43007518796992483
perplexity,hallucination,6,669,0.4663677130044843
perplexity,hallucination,7,665,0.49022556390977445
perplexity,hallucination,8,666,0.4894894894894895
perplexity,hallucination,9,666,0.4624624624624625
perplexity,hallucination,10,667,0.4917541229385307
semantic_entropy,error,1,27,0.2962962962962963
semantic_entropy,error,2,729,0.37448559670781895
semantic_entropy,error,3,1848,0.25162337662337664
semantic_entropy,error,4,215,0.4883720930232558
semantic_entropy,error,5,510,0.43333333333333335
semantic_entropy,error,6,669,0.476831091180867
semantic_entropy,error,7,665,0.5398496240601504
semantic_entropy,error,8,666,0.512012012012012
semantic_entropy,error,9,666,0.5885885885885885
semantic_entropy,error,10,667,0.5967016491754122
semantic_entropy,hallucination,1,27,0.4074074074074074
semantic_entropy,hallucination,2,729,0.4842249657064472
semantic_entropy,hallucination,3,1848,0.270021645021645
semantic_entropy,hallucination,4,215,0.5767441860465117
semantic_entropy,hallucination,5,510,0.4803921568627451
semantic_entropy,hallucination,6,669,0.47085201793721976
semantic_entropy,hallucination,7,665,0.5142857142857142
semantic_entropy,hallucination,8,666,0.506006006006006
semantic_entropy,hallucination,9,666,0.5615615615615616
semantic_entropy,hallucination,10,667,0.568215892053973
umpire,error,1,667,0.18440779610194902
umpire,error,2,666,0.28678678678678676
umpire,error,3,666,0.4039039039039039
umpire,error,4,665,0.43909774436090226
umpire,error,5,665,0.45714285714285713
umpire,error,6,669,0.4947683109118087
umpire,error,7,665,0.4556390977443609
umpire,error,8,666,0.5180180180180181
umpire,error,9,666,0.5345345345345346
umpire,error,10,667,0.5502248875562219
umpire,hallucination,1,667,0.25037481259370314
umpire,hallucination,2,666,0.35135135135135137
umpire,hallucination,3,666,0.45495495495495497
umpire,hallucination,4,665,0.47218045112781953
umpire,hallucination,5,665,0.47368421052631576
umpire,hallucination,6,669,0.4962630792227205
umpire,hallucination,7,665,0.46466165413533833
umpire,hallucination,8,666,0.512012012012012
umpire,hallucination,9,666,0.5075075075075075
umpire,hallucination,10,667,0.48875562218890556
