scope,metric,value_analysis,value_metrics,abs_diff
llava/vilp,accuracy,0.5293453724604966,0.5293453724604966,0.0
llava/vilp,hallucination_rate,0.5270880361173815,0.5270880361173815,0.0
llava/hallusionbench,accuracy,0.5135379061371841,0.5135379061371841,0.0
llava/hallusionbench,hallucination_rate,0.7951263537906137,0.7951263537906137,0.0
llava/mmvet,accuracy,0.24074074074074073,0.24074074074074073,0.0
llava/mmvet,hallucination_rate,0.7037037037037037,0.7037037037037037,0.0
qwen/vilp,accuracy,0.6469933184855234,0.6469933184855234,0.0
qwen/vilp,hallucination_rate,0.23942093541202672,0.23942093541202672,0.0
qwen/hallusionbench,accuracy,0.6606005459508644,0.6606005459508644,0.0
qwen/hallusionbench,hallucination_rate,0.467697907188353,0.467697907188353,0.0
qwen/mmvet,accuracy,0.5596330275229358,0.5596330275229358,0.0
qwen/mmvet,hallucination_rate,0.2981651376146789,0.2981651376146789,0.0
internvl/vilp,accuracy,0.6177777777777778,0.6177777777777778,0.0
internvl/vilp,hallucination_rate,0.2544444444444444,0.2544444444444444,0.0
internvl/hallusionbench,accuracy,0.7104795737122558,0.7104795737122558,0.0
internvl/hallusionbench,hallucination_rate,0.38632326820603907,0.38632326820603907,0.0
internvl/mmvet,accuracy,0.5509259259259259,0.5509259259259259,0.0
internvl/mmvet,hallucination_rate,0.2638888888888889,0.2638888888888889,0.0
