scope,model,dataset,n,accuracy,acc_ci_low,acc_ci_high,hallu_rate,hr_ci_low,hr_ci_high
llava/vilp,llava,vilp,886,0.5293453724604966,0.5027919965419966,0.5585918420018644,0.5270880361173815,0.49264146612082493,0.5591892060206527
llava/hallusionbench,llava,hallusionbench,1108,0.5135379061371841,0.4858092619994522,0.5419104278074865,0.7951263537906137,0.7656654816955454,0.8236331964398214
llava/mmvet,llava,mmvet,216,0.24074074074074073,0.18506944444444445,0.30104166666666654,0.7037037037037037,0.6435185185185185,0.7685185185185185
qwen/vilp,qwen,vilp,898,0.6469933184855234,0.6162402669632926,0.6792873051224945,0.23942093541202672,0.21134593993325917,0.26756599378881984
qwen/hallusionbench,qwen,hallusionbench,1099,0.6606005459508644,0.6261343421278214,0.6966877079012248,0.467697907188353,0.42131801801801805,0.5144227505335973
qwen/mmvet,qwen,mmvet,218,0.5596330275229358,0.4954128440366973,0.6284403669724771,0.2981651376146789,0.23841743119266057,0.3577981651376147
internvl/vilp,internvl,vilp,900,0.6177777777777778,0.59,0.6466666666666666,0.2544444444444444,0.22666666666666666,0.28336111111111106
internvl/hallusionbench,internvl,hallusionbench,1126,0.7104795737122558,0.6758359945199268,0.7452993601891289,0.38632326820603907,0.34431883945023506,0.43423165818106524
internvl/mmvet,internvl,mmvet,216,0.5509259259259259,0.48148148148148145,0.6203703703703703,0.2638888888888889,0.20821759259259262,0.3287037037037037
llava/all,llava,all,2210,0.49321266968325794,0.4741333561624348,0.5131788784605245,0.6787330316742082,0.6548298094339462,0.7010138564748528
qwen/all,qwen,all,2215,0.6451467268623025,0.6231376315974031,0.6660847508206506,0.35846501128668173,0.3287359763644349,0.3870720987218828
internvl/all,internvl,all,2242,0.6578947368421053,0.6365729967170093,0.6813142349131596,0.3215878679750223,0.2932486062124983,0.34607698010276505
all/all,all,all,6667,0.5990700464976751,0.5822217856568779,0.6157892084543799,0.4522273886305685,0.4319992536153009,0.4724533573707376
