scope,model,dataset,n,correct_no_hallu,correct_no_hallu_pct,correct_with_hallu,correct_with_hallu_pct,wrong_no_hallu,wrong_no_hallu_pct,wrong_with_hallu,wrong_with_hallu_pct,p_h_given_correct,p_h_given_wrong,p_e_given_h,hallu_in_correct_share
llava/vilp,llava,vilp,886,365,0.41196388261851014,104,0.11738148984198646,54,0.060948081264108354,363,0.40970654627539504,0.22174840085287847,0.8705035971223022,0.7773019271948608,0.22269807280513917
llava/hallusionbench,llava,hallusionbench,1108,220,0.19855595667870035,349,0.31498194945848373,7,0.00631768953068592,532,0.48014440433212996,0.6133567662565905,0.987012987012987,0.6038592508513053,0.3961407491486947
llava/mmvet,llava,mmvet,216,39,0.18055555555555555,13,0.06018518518518518,25,0.11574074074074074,139,0.6435185185185185,0.25,0.8475609756097561,0.9144736842105263,0.08552631578947369
qwen/vilp,qwen,vilp,898,546,0.6080178173719376,35,0.03897550111358575,137,0.15256124721603564,180,0.20044543429844097,0.060240963855421686,0.5678233438485805,0.8372093023255814,0.16279069767441862
qwen/hallusionbench,qwen,hallusionbench,1099,534,0.4858962693357598,192,0.17470427661510465,51,0.04640582347588717,322,0.2929936305732484,0.2644628099173554,0.8632707774798928,0.6264591439688716,0.3735408560311284
qwen/mmvet,qwen,mmvet,218,109,0.5,13,0.05963302752293578,44,0.2018348623853211,52,0.23853211009174313,0.10655737704918032,0.5416666666666666,0.8,0.2
internvl/vilp,internvl,vilp,900,515,0.5722222222222222,41,0.04555555555555556,156,0.17333333333333334,188,0.2088888888888889,0.0737410071942446,0.5465116279069767,0.8209606986899564,0.17903930131004367
internvl/hallusionbench,internvl,hallusionbench,1126,622,0.5523978685612788,178,0.15808170515097691,69,0.06127886323268206,257,0.22824156305506216,0.2225,0.7883435582822086,0.5908045977011495,0.4091954022988506
internvl/mmvet,internvl,mmvet,216,112,0.5185185185185185,7,0.032407407407407406,47,0.2175925925925926,50,0.23148148148148148,0.058823529411764705,0.5154639175257731,0.8771929824561403,0.12280701754385964
llava/all,llava,all,2210,624,0.2823529411764706,466,0.21085972850678733,86,0.03891402714932127,1034,0.4678733031674208,0.42752293577981654,0.9232142857142858,0.6893333333333334,0.31066666666666665
qwen/all,qwen,all,2215,1189,0.5367945823927766,240,0.10835214446952596,232,0.10474040632054175,554,0.2501128668171558,0.16794961511546536,0.7048346055979644,0.6977329974811083,0.3022670025188917
internvl/all,internvl,all,2242,1249,0.5570918822479929,226,0.1008028545941124,272,0.12132024977698483,495,0.2207850133809099,0.15322033898305085,0.6453715775749674,0.6865464632454924,0.31345353675450766
all/all,all,all,6667,3062,0.4592770361481926,932,0.13979301034948252,590,0.08849557522123894,2083,0.31243437828108594,0.23335002503755634,0.7792742237186682,0.6908789386401327,0.30912106135986733
