scope,model,dataset,correct,hallucination,n
llava/vilp,llava,vilp,1,0,365
llava/vilp,llava,vilp,1,1,104
llava/vilp,llava,vilp,0,0,54
llava/vilp,llava,vilp,0,1,363
llava/hallusionbench,llava,hallusionbench,1,0,220
llava/hallusionbench,llava,hallusionbench,1,1,349
llava/hallusionbench,llava,hallusionbench,0,0,7
llava/hallusionbench,llava,hallusionbench,0,1,532
llava/mmvet,llava,mmvet,1,0,39
llava/mmvet,llava,mmvet,1,1,13
llava/mmvet,llava,mmvet,0,0,25
llava/mmvet,llava,mmvet,0,1,139
qwen/vilp,qwen,vilp,1,0,546
qwen/vilp,qwen,vilp,1,1,35
qwen/vilp,qwen,vilp,0,0,137
qwen/vilp,qwen,vilp,0,1,180
qwen/hallusionbench,qwen,hallusionbench,1,0,534
qwen/hallusionbench,qwen,hallusionbench,1,1,192
qwen/hallusionbench,qwen,hallusionbench,0,0,51
qwen/hallusionbench,qwen,hallusionbench,0,1,322
qwen/mmvet,qwen,mmvet,1,0,109
qwen/mmvet,qwen,mmvet,1,1,13
qwen/mmvet,qwen,mmvet,0,0,44
qwen/mmvet,qwen,mmvet,0,1,52
internvl/vilp,internvl,vilp,1,0,515
internvl/vilp,internvl,vilp,1,1,41
internvl/vilp,internvl,vilp,0,0,156
internvl/vilp,internvl,vilp,0,1,188
internvl/hallusionbench,internvl,hallusionbench,1,0,622
internvl/hallusionbench,internvl,hallusionbench,1,1,178
internvl/hallusionbench,internvl,hallusionbench,0,0,69
internvl/hallusionbench,internvl,hallusionbench,0,1,257
internvl/mmvet,internvl,mmvet,1,0,112
internvl/mmvet,internvl,mmvet,1,1,7
internvl/mmvet,internvl,mmvet,0,0,47
internvl/mmvet,internvl,mmvet,0,1,50
llava/all,llava,all,1,0,624
llava/all,llava,all,1,1,466
llava/all,llava,all,0,0,86
llava/all,llava,all,0,1,1034
qwen/all,qwen,all,1,0,1189
qwen/all,qwen,all,1,1,240
qwen/all,qwen,all,0,0,232
qwen/all,qwen,all,0,1,554
internvl/all,internvl,all,1,0,1249
internvl/all,internvl,all,1,1,226
internvl/all,internvl,all,0,0,272
internvl/all,internvl,all,0,1,495
all/all,all,all,1,0,3062
all/all,all,all,1,1,932
all/all,all,all,0,0,590
all/all,all,all,0,1,2083
