scope,n,rating_0,rating_0_pct,rating_1,rating_1_pct,rating_2,rating_2_pct,rating_3,rating_3_pct,rating_4,rating_4_pct,rating_5,rating_5_pct,rating_6,rating_6_pct
llava/vilp,886,48,0.05417607223476298,317,0.3577878103837472,102,0.11512415349887133,9,0.010158013544018058,70,0.07900677200902935,50,0.056433408577878104,290,0.327313769751693
llava/hallusionbench,1108,196,0.17689530685920576,585,0.5279783393501805,100,0.09025270758122744,1,0.0009025270758122744,37,0.033393501805054154,66,0.05956678700361011,123,0.11101083032490974
llava/mmvet,216,60,0.2777777777777778,80,0.37037037037037035,12,0.05555555555555555,21,0.09722222222222222,7,0.032407407407407406,9,0.041666666666666664,27,0.125
qwen/vilp,898,5,0.005567928730512249,134,0.1492204899777283,76,0.08463251670378619,13,0.014476614699331848,124,0.13808463251670378,64,0.07126948775055679,482,0.5367483296213809
qwen/hallusionbench,1099,22,0.020018198362147407,315,0.28662420382165604,177,0.1610555050045496,10,0.009099181073703366,50,0.04549590536851683,79,0.0718835304822566,446,0.40582347588717016
qwen/mmvet,218,3,0.013761467889908258,44,0.2018348623853211,18,0.08256880733944955,24,0.11009174311926606,33,0.15137614678899083,15,0.06880733944954129,81,0.37155963302752293
internvl/vilp,900,13,0.014444444444444444,167,0.18555555555555556,49,0.05444444444444444,18,0.02,118,0.13111111111111112,52,0.057777777777777775,483,0.5366666666666666
internvl/hallusionbench,1126,21,0.018650088809946713,289,0.2566607460035524,125,0.11101243339253997,11,0.009769094138543518,67,0.05950266429840142,58,0.05150976909413854,555,0.4928952042628774
internvl/mmvet,216,3,0.013888888888888888,46,0.21296296296296297,8,0.037037037037037035,16,0.07407407407407407,40,0.18518518518518517,8,0.037037037037037035,95,0.4398148148148148
all/all,6667,371,0.05564721763911804,1977,0.29653517324133793,667,0.1000449977501125,123,0.018449077546122693,546,0.08189590520473976,401,0.06014699265036748,2582,0.3872806359682016
