model,dataset,target,method,metric,value_analysis,value_metrics,abs_diff
llava,vilp,error,perplexity,auroc,0.5745910734099288,0.5745910734099288,0.0
llava,vilp,error,perplexity,auprc,0.549918955954322,0.549918955954322,0.0
llava,vilp,error,perplexity,prr,0.12897911365414838,0.12897911365414838,0.0
llava,vilp,error,semantic_entropy,auroc,0.6550571909210372,0.6550571909210372,0.0
llava,vilp,error,semantic_entropy,auprc,0.5933672883100098,0.5933672883100098,0.0
llava,vilp,error,semantic_entropy,prr,0.3729131419591729,0.3729131419591729,0.0
llava,vilp,error,umpire,auroc,0.6091996338962945,0.6091996338962945,0.0
llava,vilp,error,umpire,auprc,0.5463196954812701,0.5463196954812701,0.0
llava,vilp,error,umpire,prr,0.28581187188524865,0.28581187188524865,0.0
llava,vilp,hallucination,perplexity,auroc,0.5411145124774496,0.5411145124774496,0.0
llava,vilp,hallucination,perplexity,auprc,0.56639402871554,0.56639402871554,0.0
llava,vilp,hallucination,perplexity,prr,0.062118883887847406,0.062118883887847406,0.0
llava,vilp,hallucination,semantic_entropy,auroc,0.6046490829087304,0.6046490829087304,0.0
llava,vilp,hallucination,semantic_entropy,auprc,0.6086999073970132,0.6086999073970132,0.0
llava,vilp,hallucination,semantic_entropy,prr,0.24149819213494556,0.24149819213494556,0.0
llava,vilp,hallucination,umpire,auroc,0.5703903962222688,0.5703903962222688,0.0
llava,vilp,hallucination,umpire,auprc,0.5745831950375461,0.5745831950375461,0.0
llava,vilp,hallucination,umpire,prr,0.2215863772553496,0.2215863772553496,0.0
llava,hallusionbench,error,perplexity,auroc,0.5667137281498316,0.5667137281498316,0.0
llava,hallusionbench,error,perplexity,auprc,0.5255058729126187,0.5255058729126187,0.0
llava,hallusionbench,error,perplexity,prr,0.19329204439964617,0.19329204439964617,0.0
llava,hallusionbench,error,semantic_entropy,auroc,0.5530843748267801,0.5530843748267801,0.0
llava,hallusionbench,error,semantic_entropy,auprc,0.5180986395573322,0.5180986395573322,0.0
llava,hallusionbench,error,semantic_entropy,prr,0.15375276276250835,0.15375276276250835,0.0
llava,hallusionbench,error,umpire,auroc,0.5788334186526504,0.5788334186526504,0.0
llava,hallusionbench,error,umpire,auprc,0.560890948763812,0.560890948763812,0.0
llava,hallusionbench,error,umpire,prr,0.19404420221194102,0.19404420221194102,0.0
llava,hallusionbench,hallucination,perplexity,auroc,0.6068244435888333,0.6068244435888333,0.0
