model,dataset,target,method,n,n_pos,pos_rate,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,prr,prr_ci_low,prr_ci_high
llava,vilp,error,perplexity,886,417,0.4706546275395034,0.5745910734099288,0.5396041871941688,0.6106717954522668,0.549918955954322,0.5055114370435917,0.5967240643251748,0.12897911365414838,0.044117107507496006,0.22022469526276583
llava,vilp,error,semantic_entropy,886,417,0.4706546275395034,0.6550571909210372,0.6216263652592876,0.6898481307604628,0.5933672883100098,0.5519089963311221,0.6468025764546476,0.3729131419591729,0.2943365644794389,0.44850441747488856
llava,vilp,error,umpire,886,417,0.4706546275395034,0.6091996338962945,0.5730734144124398,0.644719263947714,0.5463196954812701,0.5062145776595467,0.601566364874695,0.28581187188524865,0.20724493445685888,0.3666534423846339
llava,vilp,hallucination,perplexity,886,467,0.5270880361173815,0.5411145124774496,0.5042051270876666,0.580276374113987,0.56639402871554,0.5185903100571121,0.6170209577466791,0.062118883887847406,-0.023229841354404354,0.1540590069207787
llava,vilp,hallucination,semantic_entropy,886,467,0.5270880361173815,0.6046490829087304,0.5686581122230592,0.6403547318150723,0.6086999073970132,0.5667011740986808,0.6585020966895052,0.24149819213494556,0.1587069367542326,0.3245495995684044
llava,vilp,hallucination,umpire,886,467,0.5270880361173815,0.5703903962222688,0.5307700479533682,0.6092733067925272,0.5745831950375461,0.5299856080101669,0.623141375137858,0.2215863772553496,0.13479926340214346,0.30976412839004713
llava,vilp,hallucination_given_error,perplexity,417,363,0.8705035971223022,0.3650902969084787,0.27883078836638875,0.4463296410366371,0.8235571320629839,0.7724502234121733,0.879193368080683,-0.16061510491515393,-0.25556547765189785,-0.0573173843677924
llava,vilp,hallucination_given_error,semantic_entropy,417,363,0.8705035971223022,0.4681665136210591,0.3880682125478117,0.5515974846405061,0.8694731694937325,0.8275240669937024,0.9113324507782286,-0.05495454038255328,-0.1585292753868782,0.05940933024105979
llava,vilp,hallucination_given_error,umpire,417,363,0.8705035971223022,0.43464952555861647,0.3470652053764867,0.5251659470040505,0.8465279144747996,0.7948085458944798,0.8990842120617047,-0.07434320065987701,-0.19672604411412012,0.054334213759161205
llava,hallusionbench,error,perplexity,1108,539,0.48646209386281586,0.5667137281498316,0.5377912036405997,0.5947952967186442,0.5255058729126187,0.4894582679878827,0.5644445182905489,0.19329204439964617,0.12501504550835707,0.2611597872377104
llava,hallusionbench,error,semantic_entropy,1108,539,0.48646209386281586,0.5530843748267801,0.5193421763178493,0.5861523271897622,0.5180986395573322,0.479296944637642,0.563126249517879,0.15375276276250835,0.07447606892716858,0.23330846800952537
llava,hallusionbench,error,umpire,1108,539,0.48646209386281586,0.5788334186526504,0.5467531444802536,0.6120421232060261,0.560890948763812,0.5192310145210602,0.6054175795417969,0.19404420221194102,0.11360789119343104,0.2738938569166696
llava,hallusionbench,hallucination,perplexity,1108,881,0.7951263537906137,0.6068244435888333,0.5648765973573224,0.6459285022665483,0.8596187348071708,0.8282530909884842,0.8867708142118478,0.14624433126589456,0.07307842931595418,0.2255330954426044
llava,hallusionbench,hallucination,semantic_entropy,1108,881,0.7951263537906137,0.5683069399510968,0.5176387220138602,0.619842572074531,0.8113248219390972,0.7755285261951076,0.8469322196293934,0.14978260113915773,0.05816674887341148,0.24442910248250635
llava,hallusionbench,hallucination,umpire,1108,881,0.7951263537906137,0.5879232150089756,0.5409468083908018,0.6332558923768976,0.8386481245059931,0.8038218923642187,0.8706782983187408,0.16073505499352458,0.0571722677816372,0.2587891757147352
llava,hallusionbench,hallucination_given_error,perplexity,539,532,0.987012987012987,0.4381041890440387,0.23204065319173234,0.6589052670248428,0.986957051558353,0.974995150659484,0.9965419455969114,-0.06205514046136011,-0.15564961697623378,0.06815760985173631
llava,hallusionbench,hallucination_given_error,semantic_entropy,539,532,0.987012987012987,0.4532760472610097,0.2065503648749722,0.699445259490189,0.9856540738543556,0.9701415139463564,0.9966836324251471,-0.041877011878628106,-0.16297447776360074,0.092921234681582
llava,hallusionbench,hallucination_given_error,umpire,539,532,0.987012987012987,0.30746509129967775,0.1696991739951595,0.44514009396819715,0.9826039621194627,0.9678097862606383,0.9949614581583762,-0.14059617904570507,-0.18066043095239928,-0.08156512407296836
llava,mmvet,error,perplexity,216,164,0.7592592592592593,0.7577392120075047,0.670723087253194,0.8337726685187329,0.8836168425543994,0.8266251254654674,0.9368588395992147,0.558420034622581,0.3966658862486224,0.6959399205800195
llava,mmvet,error,semantic_entropy,216,164,0.7592592592592593,0.8076923076923077,0.7266058419258661,0.875333637541545,0.9124247111716994,0.861043762685457,0.953949311802244,0.6747939192911943,0.5416986729267775,0.7862133652605867
llava,mmvet,error,umpire,216,164,0.7592592592592593,0.785764540337711,0.6963186646598304,0.8608504159239453,0.8874325592592494,0.8246516065386017,0.945439766621643,0.6301752128507311,0.4777706472825109,0.7509814943115563
llava,mmvet,hallucination,perplexity,216,152,0.7037037037037037,0.5665090460526315,0.47509920142336975,0.6506746883634011,0.7283713803041374,0.6506303946547614,0.814201776386694,0.23899106344101814,0.05070017561158533,0.39861667118834465
llava,mmvet,hallucination,semantic_entropy,216,152,0.7037037037037037,0.6968544407894737,0.6176685610510652,0.7685093643966757,0.8304653676956649,0.7640383442471751,0.893637844567463,0.44509188639893776,0.268555993429462,0.5838408094730017
llava,mmvet,hallucination,umpire,216,152,0.7037037037037037,0.6793791118421053,0.591855179391714,0.7577337115273555,0.7911185561512935,0.7129140722956399,0.8672492934944784,0.4376209045638065,0.2614765956695581,0.5742586702331183
llava,mmvet,hallucination_given_error,perplexity,164,139,0.8475609756097561,0.33323741007194246,0.22088413207009422,0.4430626854647541,0.7929738225975367,0.7131727500995132,0.877648704066017,-0.24052791956229747,-0.34519830184662087,-0.13137027653617991
llava,mmvet,hallucination_given_error,semantic_entropy,164,139,0.8475609756097561,0.5257553956834532,0.41968967013888886,0.6290687034211548,0.8762949324547396,0.8124085798135277,0.9301094634928313,-0.05725862357147047,-0.1783311174305407,0.08396207571130854
llava,mmvet,hallucination_given_error,umpire,164,139,0.8475609756097561,0.5044604316546762,0.37688498551807903,0.6213203170069367,0.8570982125162401,0.7840862962356279,0.9235205190119137,-0.0572346192999132,-0.19124397313359384,0.0897185900872733
qwen,vilp,error,perplexity,898,317,0.3530066815144766,0.6121584128311353,0.5781239365479001,0.6489050107676554,0.46214702347453473,0.40866735957340034,0.5241700721439768,0.30985563235368646,0.22595741235164332,0.39460106406730794
qwen,vilp,error,semantic_entropy,898,317,0.3530066815144766,0.7173751337029054,0.679723829321169,0.7504097670127026,0.552818088058796,0.49193380681378934,0.609239851157396,0.49202470739961573,0.4095643688806222,0.5628861592843067
qwen,vilp,error,umpire,898,317,0.3530066815144766,0.6525787693360191,0.6174567486955594,0.686868942930603,0.4885610143135931,0.43309664434436673,0.5457748057373963,0.39245588132921483,0.30618399249974065,0.4755771346715755
qwen,vilp,hallucination,perplexity,898,215,0.23942093541202672,0.5005584119309476,0.45848709076294597,0.5443779919357802,0.22783328226507615,0.19898254030169524,0.26619861122296157,0.06879339319733757,-0.05209874004363461,0.18862261735008534
qwen,vilp,hallucination,semantic_entropy,898,215,0.23942093541202672,0.6088188225680139,0.5652577489536923,0.6470538430972083,0.3075302833971387,0.26193326914470305,0.36916947662668453,0.2690946950946298,0.1582784179417698,0.3684811458250506
qwen,vilp,hallucination,umpire,898,215,0.23942093541202672,0.5459498110252307,0.5011294586589616,0.5943750805634056,0.2576724212443551,0.22292978819741938,0.30743946718037496,0.1622653873924711,0.03320899147768671,0.2876150741376093
qwen,vilp,hallucination_given_error,perplexity,317,180,0.5678233438485805,0.3218978102189781,0.26091140945681845,0.38622815403944716,0.4508674450612164,0.39275898664016873,0.5217209211982466,-0.3783186025581968,-0.49629447252663533,-0.255453462777946
qwen,vilp,hallucination_given_error,semantic_entropy,317,180,0.5678233438485805,0.41005677210056773,0.34726013280789403,0.4746218529277739,0.5229161025812763,0.4561290829821191,0.6042808654875468,-0.22793551164509013,-0.353017280552458,-0.0961491327164092
qwen,vilp,hallucination_given_error,umpire,317,180,0.5678233438485805,0.3597729115977291,0.29725185866906373,0.42901213692786627,0.47651377499378755,0.4176069461978248,0.5560257887287908,-0.34464418397277774,-0.46968016473499846,-0.20609723713192632
qwen,hallusionbench,error,perplexity,1099,373,0.3393994540491356,0.6430882059690248,0.6065768445330846,0.6765080540054728,0.4564499637821699,0.411328512792884,0.5048441162590663,0.3579093726817343,0.27839362077619983,0.42740290174706214
qwen,hallusionbench,error,semantic_entropy,1099,373,0.3393994540491356,0.6525528253532153,0.6150868791725573,0.6927342979139534,0.45624803268170094,0.4116609471410258,0.5082490732306532,0.3566698640963259,0.26858376430133124,0.4434085865625471
qwen,hallusionbench,error,umpire,1099,373,0.3393994540491356,0.6287121766039631,0.5890861202910038,0.66804002090439,0.4331876554174916,0.3929779820847104,0.47953128320763155,0.3536282419654883,0.24762649814337728,0.4497012334214664
qwen,hallusionbench,hallucination,perplexity,1099,514,0.467697907188353,0.5584538893877415,0.5111080588317093,0.6015272220657063,0.5142981420410466,0.4641990755768396,0.5662281226324597,0.08641250532583566,-0.04108077734491605,0.20746463572122203
