model,target,method,macro_auroc,macro_auprc,macro_prr
llava,error,perplexity,0.6330146711890884,0.6530138904737801,0.29356373089212523
llava,error,semantic_entropy,0.6719446244800418,0.6746302130130138,0.40048660800429187
llava,error,umpire,0.6579325309622187,0.6648810678347771,0.37001042898264025
llava,hallucination,perplexity,0.5714826673729715,0.7181280479422828,0.14911809286492003
llava,hallucination,semantic_entropy,0.623270154549767,0.7501633656772584,0.278790893224347
llava,hallucination,umpire,0.61256424102445,0.7347832918982776,0.27331411227089353
qwen,error,perplexity,0.6574581170135324,0.5301549782341577,0.3904868917367071
qwen,error,semantic_entropy,0.728557498191749,0.584159316309217,0.5195091190774944
qwen,error,umpire,0.6834437488288101,0.5398641351813592,0.44943001880612216
qwen,hallucination,perplexity,0.5316700967526181,0.3543855416836082,0.07581535509994337
qwen,hallucination,semantic_entropy,0.6357868040686547,0.4387147882974081,0.2993897563945882
qwen,hallucination,umpire,0.5785630323140439,0.38614058196650314,0.21334926906776164
internvl,error,perplexity,0.6845700684849577,0.5411571817178452,0.45302126316627195
internvl,error,semantic_entropy,0.7707818748322032,0.6333716773479513,0.6013149780950249
internvl,error,umpire,0.7141038514964766,0.5530309960633825,0.5152521692531608
internvl,hallucination,perplexity,0.6015632894002327,0.38769379862525516,0.3009665897699781
internvl,hallucination,semantic_entropy,0.707281065943738,0.48542107935817747,0.4913792616476303
internvl,hallucination,umpire,0.6480732710091986,0.38170428807136797,0.43845838109095764
