model,dataset,method,auroc_error,auroc_hallucination,gap_h_minus_e,ci_low,ci_high
llava,vilp,perplexity,0.5745910734099288,0.5411145124774496,-0.033476560932479194,-0.06640571898270621,0.0025535114525198797
llava,vilp,semantic_entropy,0.6550571909210372,0.6046490829087304,-0.050408108012306774,-0.08259181338690945,-0.01979299475150969
llava,vilp,umpire,0.6091996338962945,0.5703903962222688,-0.038809237674025665,-0.0728668800727979,-0.004542590514307568
llava,hallusionbench,perplexity,0.5667137281498316,0.6068244435888333,0.04011071543900169,-0.0037160934054968203,0.08476285348368688
llava,hallusionbench,semantic_entropy,0.5530843748267801,0.5683069399510968,0.015222565124316745,-0.027191073158434945,0.059450805555079735
llava,hallusionbench,umpire,0.5788334186526504,0.5879232150089756,0.00908979635632523,-0.03274381293617101,0.051601519431629814
llava,mmvet,perplexity,0.7577392120075047,0.5665090460526315,-0.1912301659548732,-0.27883630062993425,-0.10680574016453973
llava,mmvet,semantic_entropy,0.8076923076923077,0.6968544407894737,-0.11083786690283404,-0.18604565639684653,-0.03498781511884126
llava,mmvet,umpire,0.785764540337711,0.6793791118421053,-0.10638542849560573,-0.18622782958232512,-0.029959699121589817
qwen,vilp,perplexity,0.6121584128311353,0.5005584119309476,-0.11160000090018762,-0.14869307639455726,-0.07151872040034833
qwen,vilp,semantic_entropy,0.7173751337029054,0.6088188225680139,-0.1085563111348915,-0.14511789090325636,-0.07244927401616963
qwen,vilp,umpire,0.6525787693360191,0.5459498110252307,-0.10662895831078845,-0.14278996475701142,-0.0709218160260139
qwen,hallusionbench,perplexity,0.6430882059690248,0.5584538893877415,-0.08463431658128329,-0.1244865379175129,-0.043496018580923876
qwen,hallusionbench,semantic_entropy,0.6525528253532153,0.6393661245801323,-0.013186700773083038,-0.04514630136611189,0.018638650779616527
qwen,hallusionbench,umpire,0.6287121766039631,0.6133692507233364,-0.01534292588062669,-0.04870275631992165,0.015237943970660292
qwen,mmvet,perplexity,0.7171277322404371,0.5359979889391654,-0.18112974330127174,-0.2631174534879773,-0.09950122421704193
qwen,mmvet,semantic_entropy,0.8157445355191257,0.659175465057818,-0.15656907046130775,-0.23796126742310098,-0.07440461798797805
qwen,mmvet,umpire,0.7690403005464481,0.5763700351935646,-0.19267026535288356,-0.2763679927770185,-0.10588533136718087
internvl,vilp,perplexity,0.6220302827505437,0.532568870030392,-0.08946141272015173,-0.1299422381549648,-0.04747387030702807
internvl,vilp,semantic_entropy,0.7189382215158107,0.6567659557852127,-0.062172265730597975,-0.10060320498379423,-0.023117321690903962
internvl,vilp,umpire,0.6401936590262673,0.5633122693756956,-0.07688138965057179,-0.11349946055752991,-0.04130695585953588
internvl,hallusionbench,perplexity,0.707777990797546,0.6403213733220221,-0.0674566174755239,-0.10447619154539341,-0.031470969645811454
internvl,hallusionbench,semantic_entropy,0.7459240797546012,0.6856995525392152,-0.06022452721538596,-0.09340545411329652,-0.027029406109982453
internvl,hallusionbench,umpire,0.6740835889570552,0.6610576043382071,-0.013025984618848074,-0.05075299189653572,0.021825483042965072
internvl,mmvet,perplexity,0.7239019319067833,0.6317996248482842,-0.09210230705849909,-0.16216254456181053,-0.019691428688150315
internvl,mmvet,semantic_entropy,0.8474833232261977,0.7793776895067859,-0.0681056337194118,-0.14369054725721891,0.00435597992378958
internvl,mmvet,umpire,0.8280343065061075,0.719849939313693,-0.10818436719241453,-0.17913500947638103,-0.043281079232176646
