model,dataset,method,n,n_low,low_hallu_rate,low_hallu_rate_ci_low,low_hallu_rate_ci_high,high_hallu_rate,hallu_in_low_share,low_error_rate,n_severe_all3_low,severe_hallu_rate,severe_hallu_rate_ci_low,severe_hallu_rate_ci_high
llava,vilp,perplexity,886,177,0.4519774011299435,0.3796592154648421,0.5178736772486773,0.5458392101551481,0.17130620985010706,0.4011299435028249,53,0.24528301886792453,0.1320754716981132,0.35296380090497737
llava,vilp,semantic_entropy,886,177,0.3898305084745763,0.3176470588235294,0.4594594594594595,0.5613540197461213,0.14775160599571735,0.2542372881355932,53,0.24528301886792453,0.1320754716981132,0.35296380090497737
llava,vilp,umpire,886,177,0.3728813559322034,0.29883787388073924,0.44866431649040345,0.5655853314527504,0.14132762312633834,0.288135593220339,53,0.24528301886792453,0.1320754716981132,0.35296380090497737
llava,hallusionbench,perplexity,1108,223,0.726457399103139,0.6634387860082305,0.7857220835932626,0.8124293785310734,0.18388195232690124,0.38565022421524664,57,0.5789473684210527,0.4150618087182824,0.7170390599139357
llava,hallusionbench,semantic_entropy,1108,221,0.6877828054298643,0.6086956521739131,0.7623055015282022,0.8218714768883878,0.17253121452894438,0.36199095022624433,57,0.5789473684210527,0.4150618087182824,0.7170390599139357
llava,hallusionbench,umpire,1108,221,0.7330316742081447,0.6666666666666666,0.8044690799396681,0.8105975197294251,0.18388195232690124,0.40271493212669685,57,0.5789473684210527,0.4150618087182824,0.7170390599139357
llava,mmvet,perplexity,216,43,0.5581395348837209,0.4186046511627907,0.6976744186046512,0.7398843930635838,0.15789473684210525,0.4418604651162791,22,0.2727272727272727,0.09090909090909091,0.5
llava,mmvet,semantic_entropy,216,43,0.4186046511627907,0.27906976744186046,0.5813953488372093,0.7745664739884393,0.11842105263157894,0.32558139534883723,22,0.2727272727272727,0.09090909090909091,0.5
llava,mmvet,umpire,216,43,0.4186046511627907,0.27906976744186046,0.5581395348837209,0.7745664739884393,0.11842105263157894,0.32558139534883723,22,0.2727272727272727,0.09090909090909091,0.5
qwen,vilp,perplexity,898,179,0.2011173184357542,0.14687202437630928,0.254359857336121,0.24895688456189152,0.16744186046511628,0.19553072625698323,81,0.08641975308641975,0.03613382099827883,0.14814814814814814
qwen,vilp,semantic_entropy,898,295,0.15254237288135594,0.11185525305616252,0.19427659983755824,0.28192371475953565,0.20930232558139536,0.1423728813559322,81,0.08641975308641975,0.03613382099827883,0.14814814814814814
qwen,vilp,umpire,898,179,0.16201117318435754,0.10778443113772455,0.22223661485319515,0.25869262865090403,0.13488372093023257,0.15083798882681565,81,0.08641975308641975,0.03613382099827883,0.14814814814814814
qwen,hallusionbench,perplexity,1099,220,0.4409090909090909,0.3497163198784403,0.535792931162102,0.47440273037542663,0.188715953307393,0.21363636363636362,57,0.2807017543859649,0.14029038112522685,0.42857142857142855
qwen,hallusionbench,semantic_entropy,1099,433,0.3071593533487298,0.2437203506718773,0.3723389571395576,0.5720720720720721,0.2587548638132296,0.19168591224018475,57,0.2807017543859649,0.14029038112522685,0.42857142857142855
qwen,hallusionbench,umpire,1099,219,0.2602739726027397,0.18593527358221715,0.35023041474654376,0.5193181818181818,0.11089494163424124,0.1552511415525114,57,0.2807017543859649,0.14029038112522685,0.42857142857142855
qwen,mmvet,perplexity,218,43,0.2558139534883721,0.13953488372093023,0.37209302325581395,0.30857142857142855,0.16923076923076924,0.18604651162790697,23,0.21739130434782608,0.08695652173913043,0.391304347826087
qwen,mmvet,semantic_entropy,218,44,0.20454545454545456,0.09090909090909091,0.3181818181818182,0.3218390804597701,0.13846153846153847,0.045454545454545456,23,0.21739130434782608,0.08695652173913043,0.391304347826087
qwen,mmvet,umpire,218,43,0.23255813953488372,0.11627906976744186,0.3488372093023256,0.3142857142857143,0.15384615384615385,0.09302325581395349,23,0.21739130434782608,0.08695652173913043,0.391304347826087
internvl,vilp,perplexity,900,180,0.19444444444444445,0.1404494382022472,0.25405863490609254,0.26944444444444443,0.15283842794759825,0.21666666666666667,75,0.05333333333333334,0.0,0.10810810810810811
internvl,vilp,semantic_entropy,900,223,0.11659192825112108,0.07546283993267783,0.15745800671892496,0.2998522895125554,0.11353711790393013,0.13452914798206278,75,0.05333333333333334,0.0,0.10810810810810811
internvl,vilp,umpire,900,180,0.1388888888888889,0.08936977290006942,0.19782873376623372,0.2833333333333333,0.1091703056768559,0.17222222222222222,75,0.05333333333333334,0.0,0.10810810810810811
internvl,hallusionbench,perplexity,1126,220,0.15,0.09265245488649744,0.21652691867124854,0.44370860927152317,0.07586206896551724,0.07272727272727272,152,0.06578947368421052,0.024532440974158767,0.11907775768535259
internvl,hallusionbench,semantic_entropy,1126,443,0.1963882618510158,0.15315520405059316,0.24729501616264726,0.5095168374816984,0.2,0.0835214446952596,152,0.06578947368421052,0.024532440974158767,0.11907775768535259
internvl,hallusionbench,umpire,1126,225,0.08,0.04090866846907739,0.1285924369747899,0.462819089900111,0.041379310344827586,0.057777777777777775,152,0.06578947368421052,0.024532440974158767,0.11907775768535259
internvl,mmvet,perplexity,216,43,0.11627906976744186,0.046511627906976744,0.20930232558139536,0.30057803468208094,0.08771929824561403,0.13953488372093023,26,0.038461538461538464,0.0,0.11538461538461539
internvl,mmvet,semantic_entropy,216,50,0.02,0.0,0.06,0.3373493975903614,0.017543859649122806,0.1,26,0.038461538461538464,0.0,0.11538461538461539
internvl,mmvet,umpire,216,43,0.046511627906976744,0.0,0.11627906976744186,0.3179190751445087,0.03508771929824561,0.09302325581395349,26,0.038461538461538464,0.0,0.11538461538461539
