model,method,alpha,n,n_non_hallu,n_hallu,threshold,n_luh,luh_share,ci_low,ci_high,null,excess
llava,perplexity,0.25,2210,710,1500,1.0008808676416978,292,0.19466666666666665,0.1674717865973335,0.2325776677610662,0.25,-0.055333333333333345
llava,perplexity,0.5,2210,710,1500,1.0052829578409574,651,0.434,0.3946815010344947,0.47549750646645805,0.5,-0.066
llava,semantic_entropy,0.25,2210,710,1500,0.3099462225821783,206,0.13733333333333334,0.10566105461634576,0.174408861713017,0.25,-0.11266666666666666
llava,semantic_entropy,0.5,2210,710,1500,0.6251192713516405,680,0.4533333333333333,0.40217075975664046,0.5063163787134626,0.5,-0.04666666666666669
llava,umpire,0.25,2210,710,1500,-31.197309269682933,254,0.16933333333333334,0.13672813076730286,0.19882166193433443,0.25,-0.08066666666666666
llava,umpire,0.5,2210,710,1500,-5.99606847728724,595,0.39666666666666667,0.34925388585325856,0.4449008359150905,0.5,-0.10333333333333333
qwen,perplexity,0.25,2215,1421,794,1.00052847516511,195,0.2455919395465995,0.19788918205804748,0.2942865894142979,0.25,-0.004408060453400503
qwen,perplexity,0.5,2215,1421,794,1.0045191528787372,409,0.5151133501259446,0.45838006392181624,0.5657909140667761,0.5,0.015113350125944613
qwen,semantic_entropy,0.25,2215,1421,794,0.0,187,0.23551637279596976,0.2027764346469153,0.2690443284193284,0.25,-0.014483627204030236
qwen,semantic_entropy,0.5,2215,1421,794,0.30699129887372667,239,0.30100755667506296,0.2568300695286088,0.35480531489833056,0.5,-0.19899244332493704
qwen,umpire,0.25,2215,1421,794,-39.88914479836171,130,0.163727959697733,0.127807546435865,0.20324457993771552,0.25,-0.08627204030226701
qwen,umpire,0.5,2215,1421,794,-6.04565393196771,306,0.3853904282115869,0.3375991835025647,0.425367667816813,0.5,-0.11460957178841308
internvl,perplexity,0.25,2242,1521,721,1.0001230315545775,120,0.1664355062413315,0.10399895548738597,0.2190910195588513,0.25,-0.0835644937586685
internvl,perplexity,0.5,2242,1521,721,1.0010362268200281,324,0.44937586685159503,0.3984221940477779,0.5092264890734013,0.5,-0.05062413314840497
internvl,semantic_entropy,0.25,2242,1521,721,0.0,114,0.15811373092926492,0.127322820389531,0.18934342303290713,0.25,-0.09188626907073508
internvl,semantic_entropy,0.5,2242,1521,721,0.3247201161276033,193,0.26768377253814146,0.21113817392952125,0.315030926847951,0.5,-0.23231622746185854
internvl,umpire,0.25,2242,1521,721,-39.6087544642082,45,0.06241331484049931,0.038802487562189056,0.0914470904438863,0.25,-0.1875866851595007
internvl,umpire,0.5,2242,1521,721,-9.970450531493738,225,0.3120665742024965,0.2648245436105477,0.3635216863524137,0.5,-0.1879334257975035
