model,dataset,method,group,n,token_count_mean,token_count_median,ppl_mean,fmt_yes/no_pct,fmt_numeric_pct,fmt_short(<=3w)_pct,fmt_long_pct
llava,vilp,perplexity,low_hallu,80,2.6375,3.0,1.000455743047611,0.0,0.025,0.975,0.0
llava,vilp,perplexity,other_hallu,387,2.1782945736434107,2.0,1.1636573826102736,0.002583979328165375,0.07493540051679587,0.9198966408268734,0.002583979328165375
llava,vilp,perplexity,non_hallu,419,2.124105011933174,2.0,1.0990017089069493,0.007159904534606206,0.031026252983293555,0.9618138424821002,0.0
llava,hallusionbench,perplexity,low_hallu,162,1.0061728395061729,1.0,1.0003306005435595,0.9938271604938271,0.0,0.006172839506172839,0.0
llava,hallusionbench,perplexity,other_hallu,719,1.0250347705146037,1.0,1.089821333178354,0.9847009735744089,0.0,0.015299026425591099,0.0
llava,hallusionbench,perplexity,non_hallu,227,1.0220264317180616,1.0,1.0274601068797848,0.986784140969163,0.0,0.013215859030837005,0.0
llava,mmvet,perplexity,low_hallu,24,2.4166666666666665,2.0,1.0011119081390711,0.20833333333333334,0.3333333333333333,0.4583333333333333,0.0
llava,mmvet,perplexity,other_hallu,128,2.7890625,2.0,1.3286477481728036,0.15625,0.1328125,0.6796875,0.03125
llava,mmvet,perplexity,non_hallu,64,1.90625,1.0,1.2716248998900759,0.34375,0.0625,0.59375,0.0
qwen,vilp,perplexity,low_hallu,36,2.138888888888889,2.0,1.000465588897515,0.0,0.16666666666666666,0.8333333333333334,0.0
qwen,vilp,perplexity,other_hallu,179,1.9162011173184357,2.0,1.0888842809786587,0.0,0.10614525139664804,0.888268156424581,0.00558659217877095
qwen,vilp,perplexity,non_hallu,683,1.7920937042459737,2.0,1.1257879407676388,0.0014641288433382138,0.03367496339677892,0.9633967789165446,0.0014641288433382138
qwen,hallusionbench,perplexity,low_hallu,97,1.0,1.0,1.0000836919266598,1.0,0.0,0.0,0.0
qwen,hallusionbench,perplexity,other_hallu,417,1.0095923261390887,1.0,1.0806496991579817,0.9904076738609112,0.0,0.009592326139088728,0.0
qwen,hallusionbench,perplexity,non_hallu,585,1.029059829059829,1.0,1.056653394711206,0.976068376068376,0.0,0.023931623931623933,0.0
qwen,mmvet,perplexity,low_hallu,11,2.0,1.0,1.0001593230145647,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.0
qwen,mmvet,perplexity,other_hallu,54,8.685185185185185,3.0,1.1952095203057413,0.037037037037037035,0.07407407407407407,0.7777777777777778,0.1111111111111111
qwen,mmvet,perplexity,non_hallu,153,4.287581699346405,2.0,1.228137438188724,0.11764705882352941,0.16339869281045752,0.6339869281045751,0.08496732026143791
internvl,vilp,perplexity,low_hallu,35,1.7428571428571429,2.0,1.000278344708695,0.0,0.05714285714285714,0.9428571428571428,0.0
internvl,vilp,perplexity,other_hallu,194,1.8041237113402062,2.0,1.1406315440253976,0.010309278350515464,0.08762886597938144,0.9020618556701031,0.0
internvl,vilp,perplexity,non_hallu,671,1.7928464977645306,2.0,1.1005295487316973,0.005961251862891207,0.041728763040238454,0.9508196721311475,0.0014903129657228018
internvl,hallusionbench,perplexity,low_hallu,33,1.0,1.0,1.0000208655029323,1.0,0.0,0.0,0.0
internvl,hallusionbench,perplexity,other_hallu,402,1.0149253731343284,1.0,1.0320654769127422,0.9875621890547264,0.0,0.012437810945273632,0.0
internvl,hallusionbench,perplexity,non_hallu,691,1.03328509406657,1.0,1.0120219858311135,0.9811866859623734,0.0,0.01881331403762663,0.0
internvl,mmvet,perplexity,low_hallu,5,2.2,2.0,1.0000965180900843,0.2,0.8,0.0,0.0
internvl,mmvet,perplexity,other_hallu,52,23.21153846153846,4.0,1.3594236923986829,0.038461538461538464,0.09615384615384616,0.6153846153846154,0.25
internvl,mmvet,perplexity,non_hallu,159,4.433962264150943,2.0,1.1206584562317525,0.15723270440251572,0.16981132075471697,0.5723270440251572,0.10062893081761007
