model,dataset,method,group,n,n_clusters_mean,single_cluster_pct,dominant_mass_mean,se_score_mean
llava,vilp,semantic_entropy,low_hallu,69,1.6521739130434783,0.4492753623188406,0.9678263673828397,0.11625986113563486
llava,vilp,semantic_entropy,other_hallu,398,4.688442211055277,0.0,0.5608308420820682,1.115625267414545
llava,vilp,semantic_entropy,non_hallu,419,3.5298329355608593,0.15513126491646778,0.7000545986800317,0.7674059120617869
llava,hallusionbench,semantic_entropy,low_hallu,152,1.4013157894736843,0.6052631578947368,0.976885995732992,0.08317882539535164
llava,hallusionbench,semantic_entropy,other_hallu,729,2.0987654320987654,0.0,0.6947171664807303,0.5921931916976965
llava,hallusionbench,semantic_entropy,non_hallu,227,1.8722466960352422,0.20704845814977973,0.7829533364254911,0.42978005076833264
llava,mmvet,semantic_entropy,low_hallu,18,2.611111111111111,0.1111111111111111,0.8374366145243904,0.4468878196882717
llava,mmvet,semantic_entropy,other_hallu,134,7.134328358208955,0.0,0.37243687011795124,1.6161451176883013
llava,mmvet,semantic_entropy,non_hallu,64,4.46875,0.15625,0.6071917645807325,1.0085000907123693
qwen,vilp,semantic_entropy,low_hallu,45,1.0,1.0,1.0,0.0
qwen,vilp,semantic_entropy,other_hallu,170,3.1941176470588237,0.0,0.6929820723710538,0.7396202336483775
qwen,vilp,semantic_entropy,non_hallu,683,2.3045387994143485,0.36603221083455345,0.8282957864341778,0.41789765254800204
qwen,hallusionbench,semantic_entropy,low_hallu,133,1.0,1.0,1.0,0.0
qwen,hallusionbench,semantic_entropy,other_hallu,381,2.0918635170603674,0.0,0.7421456820174809,0.5308936559497666
qwen,hallusionbench,semantic_entropy,non_hallu,585,1.5504273504273505,0.5128205128205128,0.8819276141014311,0.24775479639414844
qwen,mmvet,semantic_entropy,low_hallu,9,1.0,1.0,1.0,0.0
qwen,mmvet,semantic_entropy,other_hallu,56,6.375,0.0,0.470626441036993,1.3798417588108236
qwen,mmvet,semantic_entropy,non_hallu,153,3.9869281045751634,0.22875816993464052,0.6969621155167576,0.7822406212231099
internvl,vilp,semantic_entropy,low_hallu,26,1.0,1.0,1.0,0.0
internvl,vilp,semantic_entropy,other_hallu,203,3.7635467980295565,0.0,0.6456817779686714,0.8754088489061588
internvl,vilp,semantic_entropy,non_hallu,671,2.599105812220566,0.293591654247392,0.8005066186892714,0.49616928241511327
internvl,hallusionbench,semantic_entropy,low_hallu,87,1.0,1.0,1.0,0.0
internvl,hallusionbench,semantic_entropy,other_hallu,348,2.086206896551724,0.0,0.7331245830217593,0.5374826156793773
internvl,hallusionbench,semantic_entropy,non_hallu,691,1.5065123010130246,0.5151953690303908,0.8893207028616856,0.2334161097743294
internvl,mmvet,semantic_entropy,low_hallu,1,1.0,1.0,1.0,0.0
internvl,mmvet,semantic_entropy,other_hallu,56,6.678571428571429,0.0,0.4190162846324411,1.4731453863142823
internvl,mmvet,semantic_entropy,non_hallu,159,3.5786163522012577,0.3081761006289308,0.7154551410859361,0.7288680342352868
