model,dataset,method,group,n,semantic_volume_mean,incoherence_mean_mean,umpire_score_mean
llava,vilp,umpire,low_hallu,66,-1.9439956530925828,0.026161220578938722,-35.34657781217331
llava,vilp,umpire,other_hallu,401,-1.3413385003180203,0.30813837220891294,14.790407946749689
llava,vilp,umpire,non_hallu,419,-1.567152875781625,0.23558424107103543,0.4749572720696749
llava,hallusionbench,umpire,low_hallu,162,-2.153189485879284,0.005572058431914421,-40.49936617012305
llava,hallusionbench,umpire,other_hallu,719,-1.82754426507608,0.14086923558979747,28.281238997544914
llava,hallusionbench,umpire,non_hallu,227,-1.9003283892087046,0.0854888628626284,1.3378963217785798
llava,mmvet,umpire,low_hallu,18,-1.9677507753480634,0.0730137029437937,-35.36327863537914
llava,mmvet,umpire,other_hallu,134,-1.0435279816053502,0.47397325710466603,5.04206293389301
llava,mmvet,umpire,non_hallu,64,-1.5256496999754618,0.2939219834005335,-14.443966252599328
qwen,vilp,umpire,low_hallu,29,-2.204862428090944,0.008591480725812083,-42.10050871338725
qwen,vilp,umpire,other_hallu,186,-1.5412702273235268,0.2234810149535948,21.113657201655325
qwen,vilp,umpire,non_hallu,683,-1.735823001035574,0.18128714916608457,7.416355765158083
qwen,hallusionbench,umpire,low_hallu,57,-2.4721726322175437,0.0009557295774540195,-48.227039545116384
qwen,hallusionbench,umpire,other_hallu,457,-2.049586699890159,0.11136242529697853,100.74575753680833
qwen,hallusionbench,umpire,non_hallu,585,-2.2027859553955067,0.07660838949112185,53.44827227896486
qwen,mmvet,umpire,low_hallu,10,-2.317288358847337,0.00676387198242701,-45.75164454255173
qwen,mmvet,umpire,other_hallu,55,-1.189914237471942,0.485937978304928,18.88536635649462
qwen,mmvet,umpire,non_hallu,153,-1.5641133692362195,0.34503461075237685,-0.9752372649576355
internvl,vilp,umpire,low_hallu,25,-2.0552299339477393,0.004827887129850367,-40.0045934787346
internvl,vilp,umpire,other_hallu,204,-1.3561384054419936,0.22411715250030387,23.940984331560916
internvl,vilp,umpire,non_hallu,671,-1.6185415437056596,0.18410171076169413,9.57564255422769
internvl,hallusionbench,umpire,low_hallu,18,-2.3316766438238647,0.00010629118598328405,-45.456325864055614
internvl,hallusionbench,umpire,other_hallu,417,-1.8597847620174275,0.04105118920777088,417.4586334001989
internvl,hallusionbench,umpire,non_hallu,691,-2.06877932717401,0.029482984988238765,285.1573837513143
internvl,mmvet,umpire,low_hallu,2,-2.004416246005677,0.000526926240066522,-40.035140846455135
internvl,mmvet,umpire,other_hallu,55,-1.0912452938364898,0.5383952555964182,32.51676617088179
internvl,mmvet,umpire,non_hallu,159,-1.5518275478469385,0.29532686057496393,-1.2284216367104714
