model,dataset,group,n,correct_share,rating_le2_share,vision_type_share,reasoning_type_share,both_type_share
llava,vilp,consensus_luh,13,0.23076923076923078,1.0,0.23076923076923078,0.23076923076923078,0.5384615384615384
llava,vilp,other_hallu,454,0.22246696035242292,1.0,0.18061674008810572,0.15198237885462554,0.6674008810572687
llava,hallusionbench,consensus_luh,33,0.5454545454545454,1.0,0.2727272727272727,0.18181818181818182,0.5454545454545454
llava,hallusionbench,other_hallu,848,0.3903301886792453,1.0,0.1544811320754717,0.10023584905660378,0.7452830188679245
llava,mmvet,consensus_luh,6,0.5,1.0,0.5,0.16666666666666666,0.3333333333333333
llava,mmvet,other_hallu,146,0.0684931506849315,1.0,0.2671232876712329,0.13013698630136986,0.6027397260273972
qwen,vilp,consensus_luh,7,0.42857142857142855,1.0,0.2857142857142857,0.14285714285714285,0.5714285714285714
qwen,vilp,other_hallu,208,0.15384615384615385,1.0,0.15865384615384615,0.4519230769230769,0.3894230769230769
qwen,hallusionbench,consensus_luh,16,0.5625,1.0,0.25,0.125,0.625
qwen,hallusionbench,other_hallu,498,0.3674698795180723,1.0,0.18674698795180722,0.21485943775100402,0.5983935742971888
qwen,mmvet,consensus_luh,5,0.8,1.0,0.6,0.2,0.2
qwen,mmvet,other_hallu,60,0.15,1.0,0.2,0.3333333333333333,0.4666666666666667
internvl,vilp,consensus_luh,4,0.5,1.0,0.25,0.25,0.5
internvl,vilp,other_hallu,225,0.17333333333333334,1.0,0.17333333333333334,0.3511111111111111,0.47555555555555556
internvl,hallusionbench,consensus_luh,10,0.6,1.0,0.7,0.1,0.2
internvl,hallusionbench,other_hallu,425,0.4047058823529412,1.0,0.23058823529411765,0.14352941176470588,0.6258823529411764
internvl,mmvet,consensus_luh,1,1.0,1.0,1.0,0.0,0.0
internvl,mmvet,other_hallu,56,0.10714285714285714,1.0,0.21428571428571427,0.48214285714285715,0.30357142857142855
