model,layer,auroc,auprc,prr
llava,0,0.715375,0.7223643166442607,0.48652402110960324
llava,1,0.69875,0.7139532664047562,0.4510814946816938
llava,2,0.700125,0.6818670864280542,0.3806017068829267
llava,3,0.41535,0.4400358294784717,-0.15888995073987774
llava,4,0.64805,0.6433693536302156,0.26405794369141233
llava,5,0.63485,0.6079753687530358,0.2662945536557775
llava,6,0.5848,0.5718445225524966,0.1778682161811124
llava,7,0.561725,0.5584745537346607,0.15781987717731416
llava,8,0.5611,0.5428049236717426,0.17868814967482638
llava,9,0.46755,0.5191132294800839,-0.12598500048249242
llava,10,0.3614,0.4312019989465982,-0.3515227939600072
llava,11,0.515,0.5451425472341719,0.09026586392027597
llava,12,0.45055,0.500951499917154,-0.09784779306714542
llava,13,0.603325,0.6152852776526488,0.21422055464366024
llava,14,0.60735,0.6373086300102078,0.17229688211716226
llava,15,0.573025,0.5680563093641096,0.15329603862882715
llava,16,0.528775,0.5218776235432977,0.12160309418066208
llava,17,0.44385,0.45758082904158326,-0.11579998748007689
llava,18,0.447525,0.4630975271323917,-0.0675769107023853
llava,19,0.44465,0.46555785440008024,-0.10783905311305074
llava,20,0.447,0.4672905858478888,-0.12885956063762044
llava,21,0.448425,0.46005729374267146,-0.10681993484893888
llava,22,0.429575,0.45724688359234866,-0.09858026297898723
llava,23,0.557875,0.558480854635617,0.13809045443202952
llava,24,0.491025,0.5084375129528986,-0.002707469900844731
llava,25,0.631675,0.6310605630157107,0.29539833288600403
llava,26,0.589975,0.6042035024613757,0.23635018534159566
llava,27,0.648175,0.6317503372632444,0.32686657180885903
llava,28,0.6615,0.6494838557835554,0.37015948643484986
llava,29,0.6357,0.6343633328061566,0.28408726563797354
llava,30,0.6549,0.6495397854557543,0.3440250454814226
llava,31,0.67845,0.6699503965461544,0.3993287172724786
qwen,0,0.6158,0.614556110213395,0.26793924161299554
qwen,1,0.616375,0.5986550007407954,0.3012791140495154
qwen,2,0.5898,0.5682015314443226,0.24297150318570931
qwen,3,0.595725,0.5735899626927765,0.23679071469680227
qwen,4,0.545175,0.5531914663050379,0.07749511331180925
qwen,5,0.614925,0.5867421262261086,0.26601838773252684
qwen,6,0.65675,0.6477951686530888,0.33849790214147474
qwen,7,0.609425,0.6142192762800804,0.16362065766171024
qwen,8,0.518875,0.5311401322320923,-0.008210248934528565
qwen,9,0.59525,0.586153112254439,0.22424530108231228
qwen,10,0.43205,0.45575106622595773,-0.10586247472419381
qwen,11,0.4544,0.4601966954537242,-0.10652571186667467
qwen,12,0.448475,0.46785560973929446,-0.09249692139227696
qwen,13,0.455775,0.5049994184910711,-0.14908756883342628
qwen,14,0.47885,0.48954081807193933,-0.08905167502667748
qwen,15,0.388475,0.4305693926876271,-0.2641618437327556
qwen,16,0.535825,0.525619064103429,0.0977405589396369
qwen,17,0.54505,0.5431843053096602,0.13808567790639023
qwen,18,0.552775,0.53678603693041,0.2008091140848619
qwen,19,0.466375,0.47802604727344433,-0.0676819111226426
qwen,20,0.556325,0.540784546107596,0.1794759645863789
qwen,21,0.49785,0.49432200601708454,0.02843915789413866
qwen,22,0.443475,0.45721822653629957,-0.11508711355901703
qwen,23,0.508275,0.4957363729989832,-0.008168263430293367
qwen,24,0.533025,0.5193152261026399,0.06912386695867347
qwen,25,0.58305,0.5621705480973735,0.17428083026960361
qwen,26,0.514225,0.5147334219561825,-0.019508599153708457
qwen,27,0.556625,0.5565461785921902,0.07482339974101197
internvl,0,0.5861,0.5849066068903124,0.19619725993401166
internvl,1,0.5949,0.6101904928773827,0.17228026194339646
internvl,2,0.5524,0.5560393104115186,0.11599910151057372
internvl,3,0.527075,0.5401836824699184,0.006286446764897085
internvl,4,0.5352,0.5403805414627811,0.11546314435147224
internvl,5,0.5293,0.5293482940999805,0.09595054036285362
internvl,6,0.589525,0.5797926793058317,0.19685319165423676
internvl,7,0.5554,0.5258735001108694,0.1946808192485778
internvl,8,0.51195,0.4966492329206751,0.0702725897678584
internvl,9,0.46645,0.45900036694916313,0.019988210157426804
internvl,10,0.52005,0.5076246085196926,0.13986626991805248
internvl,11,0.431875,0.4476827253350414,-0.1753875279999096
internvl,12,0.42405,0.45030371181660567,-0.19413190648775627
internvl,13,0.431925,0.444133715765892,-0.15506738558133357
internvl,14,0.47715,0.47699183275274465,-0.039704789329661865
internvl,15,0.485075,0.4668276209921814,-0.0042475708240060734
internvl,16,0.482125,0.4838833906718488,0.037347962208471475
internvl,17,0.4318,0.465603551881984,-0.13779724414270864
internvl,18,0.475625,0.5005311211852106,-0.11653210086082291
internvl,19,0.47325,0.47700997979294935,-0.09607198262356643
internvl,20,0.43615,0.4553681380557025,-0.16923922074247572
internvl,21,0.4491,0.4556405611355716,-0.1293648092466377
internvl,22,0.532075,0.5474639836083343,0.08053015049110737
internvl,23,0.425875,0.4363283005316868,-0.1391152399254159
internvl,24,0.4,0.43264657548541596,-0.2517117510921361
internvl,25,0.509775,0.5064479231731509,0.06990059059637484
internvl,26,0.386875,0.4190693930029813,-0.24435384233265217
internvl,27,0.469275,0.4915244846617804,-0.11084712037628347
internvl,28,0.43115,0.4402371763502422,-0.14180196650614424
internvl,29,0.4293,0.44227574323982033,-0.12720144665550623
internvl,30,0.461175,0.45372750345637747,-0.027302310962163682
internvl,31,0.416425,0.4359322606544056,-0.18693350796193606
internvl,32,0.501075,0.49554530444570527,0.029297769286640057
internvl,33,0.416875,0.4459259652050425,-0.1693373302706841
internvl,34,0.4921,0.48522233120340963,-0.056186073901229164
internvl,35,0.56825,0.5569501033053977,0.13163288079058472
