model,method,n,n_pos,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,prr,prr_ci_low,prr_ci_high
llava,perplexity,400,200,0.4015,0.34405923841105573,0.4554328309408697,0.43546495353031467,0.36947385860988574,0.5123680299961524,-0.22831070927354086,-0.36465140533411444,-0.10494239306032034
llava,semantic_entropy,400,200,0.4761875,0.4205612142462291,0.5357201153657339,0.4639812879446966,0.4049631397614867,0.5312640892536477,-0.03516377654222349,-0.14172859364115975,0.08447519657116509
llava,umpire,400,200,0.412575,0.35766799348676015,0.4701571736360098,0.4373662541584597,0.3769870182246087,0.5097462924711608,-0.1411329137689749,-0.27627908914614996,-0.003993331919056534
llava,era,400,200,0.708075,0.6433795773044746,0.7623251353077863,0.7186731272088969,0.6376620824220389,0.7878292042517627,0.4733608163862529,0.34004974904106583,0.5847438410124375
qwen,perplexity,400,200,0.485375,0.41842728026486775,0.5509913454306576,0.498598134130096,0.42795585430980326,0.5770638972077365,-0.05375422886275837,-0.2238086927498218,0.13607701983395806
qwen,semantic_entropy,400,200,0.4985125,0.4492277143126328,0.5461982609488805,0.49583825637693546,0.4341112296120762,0.5692174500696442,-0.0012246335953840712,-0.0827891267868172,0.07880048258945654
qwen,umpire,400,200,0.477125,0.423943596138678,0.5312118689145938,0.4893525332097374,0.42162550981786595,0.5715733181228893,-0.04230779569887096,-0.18853075563012364,0.10052535872466219
qwen,era,400,200,0.61785,0.5579169828148748,0.6730118347730454,0.6101633164831555,0.5281197545171743,0.6906997138096411,0.2897764161716197,0.15023423057625712,0.4128536855445331
internvl,perplexity,400,200,0.4890125,0.4211261705432824,0.5536834231836317,0.49827484671841205,0.4296522454370658,0.5808507703754102,-0.025021076834885116,-0.17842346781728255,0.1333463714160378
internvl,semantic_entropy,400,200,0.49805,0.44514551031010235,0.5545855397158549,0.5003617255327562,0.4368301154540385,0.5748424619440914,-0.0015870240373686974,-0.10220794104010836,0.10298154121019691
internvl,umpire,400,200,0.50215,0.4420100197098997,0.5615501883736603,0.5015973219331716,0.43104349002559283,0.5832451116105204,0.0031476122141229166,-0.13608967548715362,0.14860605568330187
internvl,era,400,200,0.590625,0.534706004954052,0.6492858663938729,0.601845560062819,0.5307517799122782,0.6923064163453535,0.18677298744286044,0.049205667062990614,0.3201792503190146
